UNDERLYING;EXERCICE_PRICE;TIME_TO_MATURITY;INTEREST_RATE;VOLATILITY;MARKET_PRICE
4730.7000;3784.56;1.2630;-0.08%;35%;1239.37
4730.7000;4257.63;1.2630;-0.08%;35%;950.75
4730.7000;4494.17;1.2630;-0.08%;29%;725.33
4730.7000;4612.43;1.2630;-0.08%;25%;583.29
4730.7000;4730.70;1.2630;-0.08%;22%;464.87
4730.7000;4848.97;1.2630;-0.08%;20%;379.27
4730.7000;4967.24;1.2630;-0.08%;20%;328.04
4730.7000;5203.77;1.2630;-0.08%;20%;251.35
4730.7000;5676.84;1.2630;-0.08%;24%;208.23
4730.7000;3784.56;1.2822;-0.08%;41%;1333.29
4730.7000;4257.63;1.2822;-0.08%;33%;924.44
4730.7000;4494.17;1.2822;-0.08%;27%;674.10
4730.7000;4612.43;1.2822;-0.08%;24%;557.42
4730.7000;4730.70;1.2822;-0.08%;21%;452.25
4730.7000;4848.97;1.2822;-0.08%;19%;359.46
4730.7000;4967.24;1.2822;-0.08%;18%;294.12
4730.7000;5203.77;1.2822;-0.08%;18%;207.81
4730.7000;5676.84;1.2822;-0.08%;20%;140.23
4730.7000;3784.56;1.3014;-0.08%;41%;1350.03
4730.7000;4257.63;1.3014;-0.08%;31%;891.32
4730.7000;4494.17;1.3014;-0.08%;26%;663.98
4730.7000;4612.43;1.3014;-0.08%;23%;554.16
4730.7000;4730.70;1.3014;-0.08%;21%;451.34
4730.7000;4848.97;1.3014;-0.08%;19%;358.23
4730.7000;4967.24;1.3014;-0.08%;18%;280.39
4730.7000;5203.77;1.3014;-0.08%;17%;189.49
4730.7000;5676.84;1.3014;-0.08%;20%;134.48
4730.7000;3784.56;1.3781;-0.08%;35%;1266.58
4730.7000;4257.63;1.3781;-0.08%;27%;839.79
4730.7000;4494.17;1.3781;-0.08%;24%;642.88
4730.7000;4612.43;1.3781;-0.08%;22%;548.51
4730.7000;4730.70;1.3781;-0.08%;21%;458.50
4730.7000;4848.97;1.3781;-0.08%;19%;376.17
4730.7000;4967.24;1.3781;-0.08%;18%;304.06
4730.7000;5203.77;1.3781;-0.08%;17%;194.75
4730.7000;5676.84;1.3781;-0.08%;16%;83.87
4730.7000;3784.56;1.4548;-0.07%;32%;1234.06
4730.7000;4257.63;1.4548;-0.07%;26%;828.14
4730.7000;4494.17;1.4548;-0.07%;23%;639.93
4730.7000;4612.43;1.4548;-0.07%;22%;549.84
4730.7000;4730.70;1.4548;-0.07%;21%;464.99
4730.7000;4848.97;1.4548;-0.07%;19%;387.77
4730.7000;4967.24;1.4548;-0.07%;18%;319.60
4730.7000;5203.77;1.4548;-0.07%;17%;211.84
4730.7000;5676.84;1.4548;-0.07%;16%;84.43
4730.7000;3784.56;1.7233;-0.06%;27%;1177.80
4730.7000;4257.63;1.7233;-0.06%;22%;791.23
4730.7000;4494.17;1.7233;-0.06%;20%;615.99
4730.7000;4612.43;1.7233;-0.06%;20%;535.28
4730.7000;4730.70;1.7233;-0.06%;19%;459.82
4730.7000;4848.97;1.7233;-0.06%;18%;388.88
4730.7000;4967.24;1.7233;-0.06%;17%;323.93
4730.7000;5203.77;1.7233;-0.06%;16%;218.40
4730.7000;5676.84;1.7233;-0.06%;15%;101.88
4730.7000;3784.56;1.9726;-0.04%;25%;1174.89
4730.7000;4257.63;1.9726;-0.04%;21%;798.34
4730.7000;4494.17;1.9726;-0.04%;20%;628.68
4730.7000;4612.43;1.9726;-0.04%;19%;550.66
4730.7000;4730.70;1.9726;-0.04%;18%;477.71
4730.7000;4848.97;1.9726;-0.04%;17%;409.71
4730.7000;4967.24;1.9726;-0.04%;17%;347.00
4730.7000;5203.77;1.9726;-0.04%;16%;240.35
4730.7000;5676.84;1.9726;-0.04%;15%;110.77
4730.7000;3784.56;2.2219;-0.02%;24%;1179.15
4730.7000;4257.63;2.2219;-0.02%;20%;808.51
4730.7000;4494.17;2.2219;-0.02%;19%;643.68
