UNDERLYING;EXERCICE_PRICE;TIME_TO_MATURITY;INTEREST_RATE;VOLATILITY;MARKET_PRICE;MODIF UNDERLYING;MODIF MARKET PRICE;;
4730.7;3784.56;1.263;-0.0008;0.35;1239.37;125;32.74806054;;63.15
4730.7;4257.63;1.263;-0.0008;0.35;950.75;111.1111111;22.33049842;;63.15
4730.7;4494.17;1.263;-0.0008;0.29;725.33;105.2630408;16.13935387;;63.15
4730.7;4612.43;1.263;-0.0008;0.25;583.29;102.5641582;12.64604558;;63.15
4730.7;4730.7;1.263;-0.0008;0.22;464.87;100;9.82666413;;63.15
4730.7;4848.97;1.263;-0.0008;0.20;379.27;97.56092531;7.821661095;;63.15
4730.7;4967.24;1.263;-0.0008;0.20;328.04;95.23799937;6.604069866;;63.15
4730.7;5203.77;1.263;-0.0008;0.20;251.35;90.90909091;4.830151986;;63.15
4730.7;5676.84;1.263;-0.0008;0.24;208.23;83.33333333;3.668061809;;63.15
4730.7;3784.56;1.2822;-0.0008;0.41;1333.29;125;35.22972287;;64.11
4730.7;4257.63;1.2822;-0.0008;0.33;924.44;111.1111111;21.712549;;64.11
4730.7;4494.17;1.2822;-0.0008;0.27;674.1;105.2630408;14.9994326;;64.11
4730.7;4612.43;1.2822;-0.0008;0.24;557.42;102.5641582;12.08516986;;64.11
4730.7;4730.7;1.2822;-0.0008;0.21;452.25;100;9.559895998;;64.11
4730.7;4848.97;1.2822;-0.0008;0.19;359.46;97.56092531;7.413120725;;64.11
4730.7;4967.24;1.2822;-0.0008;0.18;294.12;95.23799937;5.921195674;;64.11
4730.7;5203.77;1.2822;-0.0008;0.18;207.81;90.90909091;3.993450902;;64.11
4730.7;5676.84;1.2822;-0.0008;0.20;140.23;83.33333333;2.470212301;;64.11
4730.7;3784.56;1.3014;-0.0008;0.41;1350.03;125;35.67204642;;65.07
4730.7;4257.63;1.3014;-0.0008;0.31;891.32;111.1111111;20.93465144;;65.07
4730.7;4494.17;1.3014;-0.0008;0.26;663.98;105.2630408;14.77425198;;65.07
4730.7;4612.43;1.3014;-0.0008;0.23;554.16;102.5641582;12.01449128;;65.07
4730.7;4730.7;1.3014;-0.0008;0.21;451.34;100;9.540659945;;65.07
4730.7;4848.97;1.3014;-0.0008;0.19;358.23;97.56092531;7.387754513;;65.07
4730.7;4967.24;1.3014;-0.0008;0.18;280.39;95.23799937;5.644784629;;65.07
4730.7;5203.77;1.3014;-0.0008;0.17;189.49;90.90909091;3.641398448;;65.07
4730.7;5676.84;1.3014;-0.0008;0.20;134.48;83.33333333;2.368923556;;65.07
4730.7;3784.56;1.3781;-0.0008;0.35;1266.58;125;33.46703448;;68.905
4730.7;4257.63;1.3781;-0.0008;0.27;839.79;111.1111111;19.72435369;;68.905
4730.7;4494.17;1.3781;-0.0008;0.24;642.88;105.2630408;14.30475483;;68.905
4730.7;4612.43;1.3781;-0.0008;0.22;548.51;102.5641582;11.89199619;;68.905
4730.7;4730.7;1.3781;-0.0008;0.21;458.5;100;9.692011753;;68.905
4730.7;4848.97;1.3781;-0.0008;0.19;376.17;97.56092531;7.757729992;;68.905
4730.7;4967.24;1.3781;-0.0008;0.18;304.06;95.23799937;6.121306802;;68.905
4730.7;5203.77;1.3781;-0.0008;0.17;194.75;90.90909091;3.74247901;;68.905
4730.7;5676.84;1.3781;-0.0008;0.16;83.87;83.33333333;1.477406444;;68.905
4730.7;3784.56;1.4548;-0.0007;0.32;1234.06;125;32.60775361;;72.74
4730.7;4257.63;1.4548;-0.0007;0.26;828.14;111.1111111;19.45072728;;72.74
4730.7;4494.17;1.4548;-0.0007;0.23;639.93;105.2630408;14.23911423;;72.74
4730.7;4612.43;1.4548;-0.0007;0.22;549.84;102.5641582;11.92083132;;72.74
4730.7;4730.7;1.4548;-0.0007;0.21;464.99;100;9.829200753;;72.74
4730.7;4848.97;1.4548;-0.0007;0.19;387.77;97.56092531;7.996956055;;72.74
4730.7;4967.24;1.4548;-0.0007;0.18;319.6;95.23799937;6.434156594;;72.74
4730.7;5203.77;1.4548;-0.0007;0.17;211.84;90.90909091;4.070894755;;72.74
4730.7;5676.84;1.4548;-0.0007;0.16;84.43;83.33333333;1.487271087;;72.74
4730.7;3784.56;1.7233;-0.0006;0.27;1177.8;125;31.12118714;;86.165
4730.7;4257.63;1.7233;-0.0006;0.22;791.23;111.1111111;18.58381306;;86.165
4730.7;4494.17;1.7233;-0.0006;0.20;615.99;105.2630408;13.7064241;;86.165
4730.7;4612.43;1.7233;-0.0006;0.20;535.28;102.5641582;11.60516257;;86.165
4730.7;4730.7;1.7233;-0.0006;0.19;459.82;100;9.7199146;;86.165
4730.7;4848.97;1.7233;-0.0006;0.18;388.88;97.56092531;8.019847514;;86.165
4730.7;4967.24;1.7233;-0.0006;0.17;323.93;95.23799937;6.521327739;;86.165
4730.7;5203.77;1.7233;-0.0006;0.16;218.4;90.90909091;4.196957206;;86.165
4730.7;5676.84;1.7233;-0.0006;0.15;101.88;83.33333333;1.79466041;;86.165
4730.7;3784.56;1.9726;-0.0004;0.25;1174.89;125;31.04429577;;98.63
4730.7;4257.63;1.9726;-0.0004;0.21;798.34;111.1111111;18.75080737;;98.63
4730.7;4494.17;1.9726;-0.0004;0.20;628.68;105.2630408;13.98878992;;98.63
4730.7;4612.43;1.9726;-0.0004;0.19;550.66;102.5641582;11.93860937;;98.63
4730.7;4730.7;1.9726;-0.0004;0.18;477.71;100;10.09808274;;98.63
4730.7;4848.97;1.9726;-0.0004;0.17;409.71;97.56092531;8.44942328;;98.63
4730.7;4967.24;1.9726;-0.0004;0.17;347;95.23799937;6.98577077;;98.63
4730.7;5203.77;1.9726;-0.0004;0.16;240.35;90.90909091;4.618766779;;98.63
4730.7;5676.84;1.9726;-0.0004;0.15;110.77;83.33333333;1.951261617;;98.63
4730.7;3784.56;2.2219;-0.0002;0.24;1179.15;125;31.15685839;;111.095
4730.7;4257.63;2.2219;-0.0002;0.20;808.51;111.1111111;18.98967266;;111.095
4730.7;4494.17;2.2219;-0.0002;0.19;643.68;105.2630408;14.32255567;;111.095
4730.7;4612.43;2.2219;-0.0002;0.18;567.58;102.5641582;12.3054442;;111.095
4730.7;4730.7;2.2219;-0.0002;0.18;496.29;100;10.49083645;;111.095
4730.7;4848.97;2.2219;-0.0002;0.17;429.29;97.56092531;8.853220375;;111.095
4730.7;4967.24;2.2219;-0.0002;0.17;367.43;95.23799937;7.397065574;;111.095
4730.7;5203.77;2.2219;-0.0002;0.16;261.36;90.90909091;5.022512525;;111.095
4730.7;5676.84;2.2219;-0.0002;0.15;126.41;83.33333333;2.226767004;;111.095
4730.7;3784.56;2.4712;0.0001;0.22;1181.11;125;31.20864777;;123.56
4730.7;4257.63;2.4712;0.0001;0.20;817.2;111.1111111;19.19377682;;123.56
4730.7;4494.17;2.4712;0.0001;0.18;655.91;105.2630408;14.594686;;123.56
4730.7;4612.43;2.4712;0.0001;0.18;581.13;102.5641582;12.5992156;;123.56
4730.7;4730.7;2.4712;0.0001;0.17;511.16;100;10.80516625;;123.56
4730.7;4848.97;2.4712;0.0001;0.17;445.4;97.56092531;9.18545588;;123.56
4730.7;4967.24;2.4712;0.0001;0.16;384.08;95.23799937;7.732261779;;123.56
4730.7;5203.77;2.4712;0.0001;0.15;276.99;90.90909091;5.322871687;;123.56
4730.7;5676.84;2.4712;0.0001;0.14;127.55;83.33333333;2.246848599;;123.56
4730.7;3784.56;2.7205;0.0003;0.21;1168.43;125;30.87360222;;136.025
4730.7;4257.63;2.7205;0.0003;0.18;808.68;111.1111111;18.99366549;;136.025
4730.7;4494.17;2.7205;0.0003;0.17;649.89;105.2630408;14.46073469;;136.025
4730.7;4612.43;2.7205;0.0003;0.17;576.78;102.5641582;12.50490522;;136.025
4730.7;4730.7;2.7205;0.0003;0.16;508.34;100;10.74555563;;136.025
4730.7;4848.97;2.7205;0.0003;0.16;444.51;97.56092531;9.167101467;;136.025
4730.7;4967.24;2.7205;0.0003;0.16;385.79;95.23799937;7.766687335;;136.025
4730.7;5203.77;2.7205;0.0003;0.15;282.9;90.90909091;5.436443194;;136.025
4730.7;5676.84;2.7205;0.0003;0.14;137.48;83.33333333;2.421769858;;136.025
